date_month,crypto_id,id_name,open,close,diff_oc,mean_oc,high,low,diff_hl,mean_hl,volume,number_of_trades
2022-06,GRT,The Graph,0.1635,0.0955,-0.068,0.1295,0.1751,0.089,0.08610000000000001,0.13205,2797240645.63,1637740
2022-06,HBAR,Hedera,0.0944,0.0635,-0.030899999999999997,0.07894999999999999,0.0983,0.0581,0.0402,0.07819999999999999,2004205613.0,806957
2022-06,ICP,Internet Computer,8.26,5.35,-2.91,6.805,9.8,4.6,5.200000000000001,7.2,127280555.33,2032393
2022-06,IOST,IOST,0.01813,0.01337,-0.00476,0.01575,0.01948,0.01179,0.007690000000000001,0.015635,9986714394.0,806869
2022-06,IOTA,IOTA,0.3529,0.2695,-0.08339999999999997,0.31120000000000003,0.3869,0.231,0.1559,0.30895,408990391.0,825937
2022-06,LINK,Chainlink,7.59,6.27,-1.3200000000000003,6.93,9.64,5.3,4.340000000000001,7.470000000000001,309490676.0,3555308
2022-06,LTC,Litecoin,68.4,53.84,-14.560000000000002,61.120000000000005,70.6,40.3,30.299999999999997,55.449999999999996,26416852.3236,3438102
2022-06,MANA,Decentraland,1.0882,0.8817,-0.20650000000000002,0.98495,1.0932,0.7255,0.3676999999999999,0.90935,1102363751.0,4075413
2022-06,MATIC,Polygon,0.662,0.4808,-0.18120000000000003,0.5714,0.671,0.316,0.35500000000000004,0.49350000000000005,4033679826.7,4358073
2022-06,NEAR,NEAR Protocol,5.956,3.338,-2.6180000000000003,4.647,5.994,2.875,3.1189999999999998,4.4345,426414258.42,5099943
2022-06,NEO,NEO,11.57,8.47,-3.0999999999999996,10.02,13.4,7.94,5.46,10.67,25539710.79,1118867
2022-06,QTUM,Qtum,4.166,2.817,-1.3490000000000002,3.4915000000000003,4.325,2.382,1.943,3.3535000000000004,30645278.38,632711
2022-06,RVN,Ravencoin,0.02974,0.02305,-0.006689999999999998,0.026395000000000002,0.03019,0.01718,0.01301,0.023685,5409178371.2,901764
2022-06,SAND,The Sandbox,1.4515,1.1232,-0.32830000000000004,1.28735,1.4613,0.7329,0.7284,1.0971,1366606178.0,5909122
2022-06,SHIB,Shiba Inu,1.174e-05,1.035e-05,-1.3900000000000002e-06,1.1045e-05,1.214e-05,7.14e-06,5e-06,9.640000000000001e-06,244247358419834.0,5651705
2022-06,SOL,Solana,45.78,33.76,-12.020000000000003,39.769999999999996,46.12,25.86,20.259999999999998,35.989999999999995,198231660.377,12943071
2022-06,STMX,StormX,0.00972,0.00716,-0.0025599999999999998,0.00844,0.01087,0.00547,0.005399999999999999,0.00817,5566067705.0,203658
2022-06,SUSHI,SushiSwap,1.877,0.99,-0.887,1.4335,1.877,0.859,1.018,1.3679999999999999,234106127.9,1415299
2022-06,TFUEL,Theta Fuel,0.0633,0.0476,-0.015699999999999992,0.05545,0.075,0.0389,0.0361,0.05695,1799576768.0,446470
2022-06,THETA,Theta Network,1.342,1.198,-0.14400000000000013,1.27,1.55,0.956,0.5940000000000001,1.2530000000000001,408745023.5,2138100
2022-06,TRX,TRON,0.08441,0.06481,-0.019599999999999992,0.07461000000000001,0.09222,0.04664,0.045579999999999996,0.06942999999999999,53838017430.5,8530165
2022-06,UNI,Uniswap,5.7,5.0,-0.7000000000000002,5.35,6.08,3.33,2.75,4.705,108864164.0,1275171
2022-06,VET,VeChain,0.03284,0.02277,-0.010070000000000003,0.027805,0.03418,0.02003,0.014150000000000003,0.027105,28173926381.2,2675331
2022-06,WAVES,Waves,9.0,5.07,-3.9299999999999997,7.035,11.6,4.13,7.47,7.865,302511078.07,4296681
2022-06,XEM,NEM,0.0532,0.0385,-0.014699999999999998,0.04585,0.0562,0.0353,0.020900000000000002,0.04575,667667395.0,140757
2022-06,XLM,Stellar,0.1505,0.1123,-0.0382,0.1314,0.151,0.1001,0.0509,0.12555,2791663306.0,1310636
2022-06,XRP,Ripple,0.4217,0.3321,-0.08960000000000001,0.3769,0.4266,0.2872,0.13939999999999997,0.3569,12126791937.78,5996307
2022-06,XTZ,Tezos,2.092,1.426,-0.6660000000000001,1.759,2.368,1.195,1.1729999999999998,1.7814999999999999,208141987.02,1560087
2022-06,ZEC,Zcash,93.3,54.5,-38.8,73.9,96.4,51.8,44.60000000000001,74.1,3801249.2961399998,883690
2022-06,ZIL,Zilliqa,0.05486,0.03874,-0.016120000000000002,0.046799999999999994,0.05626,0.02937,0.026889999999999997,0.042815,18506400482.1,3168817
2022-07,AAVE,Aave,57.0,97.6,40.599999999999994,77.3,109.6,54.7,54.89999999999999,82.15,9756751.445,2122749
